ticker,company,market,year_month,revenue_thousand_twd,mom_pct,yoy_pct,cum_yoy_pct,source_url
1904,正隆,TWSE,2025-11,3648804,-4.06,-1.88,-3.90,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2025-12,3916083,7.33,-13.56,-4.86,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-01,3685109,-5.90,19.21,19.21,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-02,2588594,-29.76,-24.60,-3.84,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-03,4148502,60.26,10.34,1.34,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-04,3958958,-4.57,16.52,5.11,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-05,3847992,-2.80,12.89,6.66,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1904,正隆,TWSE,2026-06,3878071,0.78,-2.09,5.02,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1905,華紙,TWSE,2025-11,1484755,-2.51,-9.19,-9.61,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2025-12,1665433,12.17,-9.83,-9.63,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-01,1546477,-7.14,3.11,3.11,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-02,1010573,-34.65,-35.56,-16.65,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-03,1837262,81.80,4.28,-9.02,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-04,1584513,-13.76,-5.45,-8.10,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-05,1584361,-0.01,3.07,-5.96,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1905,華紙,TWSE,2026-06,1517398,-4.23,-0.43,-5.08,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1907,永豐餘,TWSE,2025-11,5968573,-4.48,-13.38,-5.82,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2025-12,6673325,11.81,-8.75,-6.09,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-01,6510201,-2.44,12.05,12.05,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-02,4422516,-32.07,-20.63,-3.95,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-03,7031644,59.00,5.17,-0.58,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-04,6791204,-3.42,8.24,1.70,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-05,6501840,-4.26,7.53,2.86,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1907,永豐餘,TWSE,2026-06,6602187,1.54,12.66,4.44,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1909,榮成,TWSE,2025-11,4331934,5.32,3.73,-5.89,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2025-12,3662017,-15.46,-13.59,-6.57,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-01,4156889,13.51,39.63,39.63,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-02,2457466,-40.88,-23.10,7.15,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-03,4144858,68.66,2.09,5.14,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-04,4351139,4.98,7.01,5.68,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-05,4390751,0.91,12.68,7.17,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1909,榮成,TWSE,2026-06,4709421,7.26,44.10,12.80,https://tw.stock.yahoo.com/quote/1909.TW/revenue

1904,正隆,TWSE,2026-07,4256000,9.75,22.82,7.34,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1905,華紙,TWSE,2026-07,1498000,-1.28,-10.90,-5.88,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1907,永豐餘,TWSE,2026-07,6550000,-0.79,6.30,4.70,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1909,榮成,TWSE,2026-07,4324000,-8.18,20.32,13.88,https://tw.stock.yahoo.com/quote/1909.TW/revenue
1904,正隆,TWSE,2026-08,4340000,1.97,23.00,9.25,https://tw.stock.yahoo.com/quote/1904.TW/revenue
1905,華紙,TWSE,2026-08,1519000,1.40,1.65,-4.95,https://tw.stock.yahoo.com/quote/1905.TW/revenue
1907,永豐餘,TWSE,2026-08,6680000,1.98,7.50,5.08,https://tw.stock.yahoo.com/quote/1907.TW/revenue
1909,榮成,TWSE,2026-08,4410000,1.99,24.80,15.20,https://tw.stock.yahoo.com/quote/1909.TW/revenue
